Datetime;Resolution code;Offshore/onshore;Region;Grid connection type;Measured & Upscaled;Most recent forecast;Most recent P10;Most recent P90;Day Ahead 11AM forecast;Day Ahead 11AM P10;Day Ahead 11AM P90;Day-ahead 6PM forecast;Day-ahead 6PM P10;Day-ahead 6PM P90;Week-ahead forecast;Week-ahead P10;Week-ahead P90;Monitored capacity;Load factor;Decremental bid Indicator
2025-12-31T23:45:00+01:00;PT15M;Onshore;Wallonia;Elia;72.14;53.2;31.6;74.6;42.3;24.2;67.3;47.7;25.5;81.4;10.0;2.4;59.2;188.2;0.38;''
2025-12-31T23:30:00+01:00;PT15M;Onshore;Wallonia;Elia;71.01;52.3;31.2;73.5;41.7;23.8;66.8;47.3;25.4;80.4;10.0;2.4;59.2;188.2;0.38;''
2025-12-31T23:15:00+01:00;PT15M;Onshore;Wallonia;Elia;69.3;51.5;31.0;72.3;41.3;23.1;66.0;46.8;26.3;78.7;10.0;2.4;59.3;188.2;0.37;''
2025-12-31T23:00:00+01:00;PT15M;Onshore;Wallonia;Elia;64.58;50.6;31.1;71.4;40.6;22.6;65.4;46.4;27.7;76.5;10.0;2.4;59.3;188.2;0.34;''
2025-12-31T22:45:00+01:00;PT15M;Onshore;Wallonia;Elia;60.86;49.5;31.1;70.6;38.7;20.5;63.2;45.0;28.4;73.2;9.9;2.3;59.2;188.2;0.32;''
2025-12-31T22:30:00+01:00;PT15M;Onshore;Wallonia;Elia;56.74;48.6;30.8;69.3;37.8;19.6;61.9;44.2;28.7;71.1;10.0;2.4;59.2;188.2;0.3;''
2025-12-31T22:15:00+01:00;PT15M;Onshore;Wallonia;Elia;45.68;47.6;30.3;67.9;36.8;18.8;60.9;43.0;28.5;69.4;10.0;2.4;59.3;188.2;0.24;''
2025-12-31T22:00:00+01:00;PT15M;Onshore;Wallonia;Elia;39.52;46.6;29.5;66.4;35.9;18.0;59.9;42.1;27.5;68.6;10.0;2.3;59.2;188.2;0.21;''
2025-12-31T21:45:00+01:00;PT15M;Onshore;Wallonia;Elia;38.59;43.9;25.7;64.8;34.8;17.2;58.8;40.7;26.2;67.2;10.0;2.4;59.3;188.2;0.21;''
2025-12-31T21:30:00+01:00;PT15M;Onshore;Wallonia;Elia;37.55;42.6;25.2;62.1;34.0;16.7;57.5;39.7;25.2;66.2;10.0;2.4;59.7;188.2;0.2;''
2025-12-31T21:15:00+01:00;PT15M;Onshore;Wallonia;Elia;34.62;41.4;24.4;60.1;33.2;16.2;56.1;38.8;24.1;65.2;10.0;2.4;60.8;188.2;0.18;''
2025-12-31T21:00:00+01:00;PT15M;Onshore;Wallonia;Elia;39.39;40.1;23.0;58.8;32.3;16.1;54.4;37.6;23.0;64.2;9.9;2.4;62.3;188.2;0.21;''
2025-12-31T20:45:00+01:00;PT15M;Onshore;Wallonia;Elia;36.5;38.9;21.3;59.1;31.3;15.9;52.7;36.4;21.7;63.1;10.0;2.7;63.9;188.2;0.19;''
2025-12-31T20:30:00+01:00;PT15M;Onshore;Wallonia;Elia;35.59;37.9;20.4;57.9;30.7;15.7;51.1;35.5;20.9;61.9;10.0;2.7;64.6;188.2;0.19;''
2025-12-31T20:15:00+01:00;PT15M;Onshore;Wallonia;Elia;35.71;36.9;19.4;56.7;30.0;15.4;49.7;34.6;20.4;60.4;9.9;2.7;64.3;188.2;0.19;''
2025-12-31T20:00:00+01:00;PT15M;Onshore;Wallonia;Elia;37.64;35.8;18.5;55.2;29.3;15.0;48.4;33.8;19.9;58.7;9.9;2.6;63.0;188.2;0.2;''
2025-12-31T19:45:00+01:00;PT15M;Onshore;Wallonia;Elia;39.45;33.2;17.5;51.3;28.6;14.5;47.1;32.9;19.7;56.9;9.9;2.7;61.9;188.2;0.21;''
